,0
832,"Чай, кофе и пончики на высоте! Остальное меню-просто кошмар. Были с компанией, все заказывали еду по очереди(паста, тосты, сырники), в итоге первый заказ отдали спустя 20 минут, второй через 35, третий через 40. Не приятно есть, когда все смотрят тебе в рот или смотреть на другого в ожидании!"
833,"Автор жалуется на то, что в праздничный день, 23 февраля, кафе Волконский на ул. Пятницкая, д. 37 пробило очередное дно. Он описывает, как персонал в повседневной одежде и уличной обуви бегал разгружал заставившие проходы коробки с привезенной продукцией, разговаривал громко и даже не смотрел на что происходит за столами. Кроме того, автор сообщает о неработающей кухне и отсутствии заинтересованности сотрудников в том, чтобы клиенты остались и сделали заказ."
834,"Автор жалуется на обслуживание в ресторане. Он описывает, что официантка быстро подошла к нему и попросила что-то заказать. Однако, когда он попросил подождать, пока она закажет такси, она сказала ему уходить. В итоге автор пошел к соседям, чтобы дождаться такси."
835,"Автор жалуется на то, что в кафе душно и грязно, персонал не вежливый и не улыбается, касса зависла, а кофе невкусный. Кроме того, автор сообщает о неправильном пробитии чека кассиром. В целом, кафе не вызывает у автора положительных эмоций и он не рекомендует его для посещения."
836,"Автор жалуется на то, что все девушки в цехе не приветливые, не вежливые и неприятные. Он не знает, как оставить отзыв о конкретной персоне, так как на сотрудницах нет бейджиков. В цеху грязно, столы шатаются и напитки проливаются. По-хамски себя особенно ведёт девушка в белой футболке и джинсах."
837,"Автор жалуется на то, что уже два месяца не может заказать любимые вафли цезарь из-за отсутствия повара в ресторане."
838,"Автор жалуется на то, что ему не удалось купить пряник для своей дочери, когда он был в магазине."
839,"Автор жалуется на то, что в ресторане душно."
840,"Заказывала доставку-порции не соответствуют заявленному весу, маленькие и не вкусные, во всяком случае салат со свёклой и ""боул"" с лососем не рекомендую."
841,"Автор жалуется на то, что ему приходится работать сверхурочно, чтобы заработать на жизнь."
842,"Автор жалуется на то, что кафе ""Пончики"" работает там примерно года с 1983-85... может и раньше - но сколько помню... лет 40 уж точно, и не меняется. Он также указывает на качество пончиков и хлеба, а также на советский сервис."
843,"Автор жалуется на отсутствие открытых столиков на улице и отсутствие творожного кольца в заварном кольце в десерте ""безглютеновые эклеры"". Он также рекомендует кондитеру сделать крем с кислинкой и выбрать другую форму для десерта."
844,"Автор жалуется на то, что в шахматном клубе нет бесплатного графина воды."
845,"Автор жалуется на то, что кафе в университетском отказалось принять заказ на торт на утро 8 марта, несмотря на его сомнения в наличии торта. Он также сообщает о задержке доставки тортов на час после открытия кафе."
846,"Автор жалуется на то, что ему не понравилось обслуживание в магазине."
847,"Автор жалуется на то, что кафе работает только на доставку и не успевает вовремя готовить блюда для клиентов, которые приходят в кафе на завтрак."
848,"Автор жалуется на то, что персонал в филиале кофейни в Саларьево не заинтересован в посетителях и не проявляет должного внимания к созданию атмосферы уюта и доброжелательности. Кроме того, стул, принесенный для ребенка, был грязный и протертый мокрой тряпкой, а еда не вкусная. Автор просит директора провести беседу с персоналом и объяснить, как надо встречать и обслуживать гостей, если они хотят, чтобы они к ним возвращались и друзей с собой приводили."
849,"Автор жалуется на летающие столы, уставших девочек-официанток, отсутствие яйца в карбонаре и невозможность оплатить заказ за столиком."
850,"Автор жалуется на то, что в заведении Шоколадница нет фраппе и нет стаканчиков для кофе на вынос."
851,"Автор жалуется на то, что пончики с миндальной начинкой, которые он купил в данной пончиковой, оказались невкусными и не соответствовали картинке на упаковке. Он также отмечает высокую цену за 1 пончик и отсутствие начинки в тесте."
852,"Автор жалуется на то, что шаурма, которую он заказал в данном заведении, оказалась невкусной и не соответствующей его ожиданиям. Он также отмечает вежливый персонал, который работает в головных уборах и перчатках, но не берет деньги в руки."
853,"Автор жалуется на качество шаурмы и чая, а также на то, что повар отдает заказ с претензиями."
854,"Автор жалуется на то, что еда в ресторане была вкусной, но после ихней пепси он сильно отрыгнул."
855,"Автор жалуется на обслуживание в Шоколаднице, а именно на то, что его ланч одного состава может стоить на 100 рублей дороже, чем он ожидал, и что кофе с пирожным несли больше 20 минут. Он также отмечает экономию на количестве морса, которую он наблюдал впервые."
856,"Автор жалуется на отвратительных работников, которые не добавляют бананы в кофе. Он также утверждает, что место отвратительное и не стоит его посещать."
857,"Автор жалуется на то, что цены в булочной Вольчека слишком высокие."
858,"Автор жалуется на то, что кофейня не проходная, десерты представленные на ветрине (муляжи), нет вывески с меню кофе, туалет представляет собой совдеп. Он предлагает кофейне сменить дислокацию и поработать над ассортиментом вкусняшек."
859,"Автор жалуется на плохое обслуживание, еду не вкусную и завышенные цены."
860,Автор жалуется на качество кофе латте и сырников в кафе.
861,"Автор жалуется на то, что у бариста нет сдачи, а также на отсутствие вежливости со стороны молодых и амбициозных сотрудников."
862,Автор жалуется на уровень обслуживания в кафе.
863,"Автор жалуется на то, что его компанию из 5 человек отказались принять в ресторане в 23:15 из-за закрытия кухни и отсутствия вариантов лёгких закусок."
864,"Автор жалуется на качество кофе и пирожных, а также просит сделать музыку потише. Он также отмечает, что на сайте заведения нет возможности оставить отзыв или предложения по работе заведений."
865,"В данном отзыве автор жалуется на то, что в заказ не положили все необходимое и 3 дня не дают обратную связь. Кроме того, сервис не отвечает на звонки и не знает, как работать с клиентами. В целом, отзыв можно охарактеризовать как негативный."
866,"Автор жалуется на то, что не может перейти в другой размер одежды."
867,"Автор жалуется на обслуживание, а именно на то, что ему пришлось искать свой чек в мусорном ведре, так как кассир не смогла найти его сразу. Также автор отмечает вкусную выпечку и помадку в булочках."
868,"Автор жалуется на то, что ему приходится ждать 30-40 минут, чтобы купить пирожное с витрины, хотя в зале было меньше людей, чем обычно, и баристы не были заняты. Автор считает это странным, так как раньше с этим проблем не возникало даже при очереди к кассе."
869,"Не понравилось. Дорого и не вкусно. Дядечке, который обслуживает столы СПАСИБО! Ему две звездочки! Но еда, извините, не вкусная. Надо менять поваров. Особенно, сушистов."
870,"Автор жалуется на то, что вместо заказанного им капучино на кокосовом молоке, ему принесли обычный кофе. Это может быть связано с непереносимостью лактозы или с медленной работой бариста."
871,"Автор жалуется на вкус американо, который подают в данном заведении. Он считает, что бариста не является профессионалом своего дела."
872,"Автор жалуется на то, что кофе невкусный и его невозможно выпить до конца. Он не рекомендует это место для посещения."
873,"Автор жалуется на то, что он приехал специально к этому месту в 11:30, но оно было закрыто. Он позвонил по телефону, чтобы узнать, почему это произошло, и получил ответ о технических причинах, которые скоро будут устранены. Однако, судя по голосу сотрудника, который разговаривал с автором, он только проснулся и не был осведомлен о расписании работы этого места."
874,"Заказал круассан с жареным бананом и мороженым, в итоге мороженое было очень твердым, за такую цену - это позор."
875,"Автор жалуется на проходное пекарное заведение, горячий кофе и персонал, который не в теме цен на продукцию. Он рекомендует это место для перекуса без претензий и пафоса."
876,"Автор жалуется на несвежие котлеты, волос в брускетте, соленый лосось вместо свежего в пасте для ребенка и испорченное настроение после последнего посещения. Он также отмечает повышение цен и ухудшение качества кухни."
877,"Автор жалуется на отсутствие туалета в кофейне ""Буханка""."
878,"Автор жалуется на то, что кофейня была закрыта в воскресенье вечером, хотя на двери не было никакой информации об этом."
879,Автор жалуется на вкус кофе и невкусные десерты в кафе.
880,"Автор жалуется на то, что не дождался приёма заказа и не получил свой кофе. Он также выражает недовольство работой персонала, который не обращал на него внимания и занимался своими делами."
881,"Автор жалуется на то, что ему отказали в кофе с сиропом малины."
882,"Автор жалуется на то, что в заведении грязно, неуютно и нет места для парковки."
883,"Автор жалуется на то, что пицца и хот дог были приготовлены плохо, сосиски резиновые и невкусные, а также на беспорядок на столе и немытую посуду. Он также выражает свое недовольство напитком, который не понравился ему и его дочери."
884,"Автор жалуется на то, что десерты в ресторане слишком сладкие и всегда вчерашние, а сэндвичи и кофе без кофеина."
885,"Автор жалуется на то, что заведение испортилось от слова совсем: бургеры стали не вкусные и картошка так себе, бармен не разбирается в пиве, в заведении жарко и кондиционер не работает, на следующий день вся одежда пахнет заведением, а главное - не налажена работа бара."
886,"Автор жалуется на то, что ему не понравились сырники и пирожные, которые он купил в ресторане. Он также выражает свое недовольство обслуживанием и персоналом."
887,"Автор жалуется на то, что в заведении ""Шоколадница"" в ТЦ ""Седьмое небо"" нет в наличии ни фирменного горячего шоколада, ни возможности заказать какао. Кроме того, при оформлении заказа официантка не уточнила- когда подать напитки, в результате чего посетители уже съели пасту и хотели уходить, а им принесли чай. Качество и вкус также оставляют желать лучшего с учетом цен."
888,"Автор жалуется на то, что еда в ресторане не готовится вовремя и что доставщик Анастасия грубо относится к клиентам."
889,"Автор жалуется на то, что в банке нет очередей, но он столкнулся с отсутствием внимания со стороны персонала. В результате он пошел в соседнюю кофейню и взял там кофе."
890,"Автор жалуется на то, что ему не удалось быстро позавтракать из-за задержки с расчетом и несвоевременного предоставления меню."
891,Автор жалуется на качество кофе в данном заведении.
892,Автор жалуется на ухудшение качества продукции в кондитерской.
893,"В заведении один Баристо только. Из-за этого очень долго обслуживание, кассира вообще нет! приходится ждать по 30-40 минут."
894,"Автор жалуется на то, что ему не удалось получить качественный кофе из-за плохого оборудования."
895,"Автор жалуется на качество кофе и грязную столовую ложку в банке сахара в кафе. Он также просит дать одноразовые палочки, но получает отказ. Автор отправил данные и фото в РосПотребНадзор."
896,"Автор жалуется на то, что кофейня закрыта и не готова к открытию."
897,"Автор жалуется на то, что в кафе огромная очередь, обслуживание медленное и цены завышены. Он также выражает свое недовольство качеством пиццы, которую он заказал."
898,"Автор жалуется на то, что обслуживание было приветливым, большой выбор напитков и пирожных, но бурек без начинки и тесто так себе, туалет не работает, а атмосфера не очень."
899,"Автор жалуется на качество еды в кафе Шоколадница. Он описывает, что борщ был готов через 15-20 минут, котлеты с зеленой фасолью были несъедобными, а капучино был отвратительным."
900,"Автор жалуется на медлительность и нервозность официантки, а также на то, что она не знает меню и наполнение блюд. Он также отмечает конфликты с другими посетителями."
901,"Автор жалуется на то, что в булочной нет десертов."
902,"Автор жалуется на то, что бариста в кафе сделал капучино в стеклянном стакане, который ей не понравился. Она попросила перелить его в керамическую кружку, но настроение уже испортилось. Хотя кофе на вкус ей нравится, в ближайшее время она туда не пойдет."
903,Точка перестала работать от слова совсем. Такое впервые лет за 10 ее работы наблюдаю.
904,"На вывеске написано, что работает с 8, а по факту закрыто в 8.50, и работник даже не удосужился выйти объяснить с чем это связано."
905,"Автор жалуется на то, что его заказ был доставлен очень медленно и напиток был приготовлен с нарушением температурного режима. Кроме того, в смене работало 3 человека, которые еле передвигались."
906,"Напиток хороший, персонал отзывчивый, но крышки проливаются, когда несешь и пьешь. Очень неприятно. Придумайте что-то, пожалуйста."
907,"Автор жалуется на то, что купил пирог с мясом или беляш, размер хороший, а как откусила так одна пустота и мясо положили вот не соврать как пельмешке. Детям взяла пироги они им совсем не понравились зато деньги дерут а качество на низком уровне."
908,"Автор жалуется на то, что картофельные драники были безвкусными, а большая порция американо - водянистой. Он также недоволен малым объемом кофе и симпатичным интерьером."
909,"Автор жалуется на отвратительный бизнес-ланч в кофейне Кофе брют на Станиславского. Он описывает, что вместо салатика с фунчозой ему пробили удон с курицей, а солянка по вкусу оказалась кипячёной водой. Официантка выразила сомнение в адекватности восприятия автора, но принесла устные извинения."
910,"Автор жалуется на то, что бариста не проявляет эмоций и не спрашивает, какое зерно или сорт кофе желает клиент. Он также отмечает средние цены и вкусное кофе, но неудовлетворительное обслуживание."
911,"Автор жалуется на то, что еда не вкусная, соль перец отсутствует вовсе, в бургер положили котлету сырую, которая по видимому размораживалась в процессе приготовления. Итог заплачено не мало денег, удовольствия получено не было, больше в данном заведении кушать не будем."
912,"Автор жалуется на ужасный кофе, который ему подали в кафе. Он не смог выпить больше 5 глотков и вылил его. Автор не придирчивый и может пить кофе в автоматах или растворимом виде, но этот кофе был ему не по вкусу. Также автор отмечает, что бариста не уточнила обьем заказанного кофе и налила ему 400-450 граммовый стакан с горкой."
913,"Автор жалуется на отношение к клиентам на торговой точке, которая позиционирует себя как новая и модная. Он описывает, что заказ делать крайне неудобно, так как продавец стоит в стеклянном блоке выше уровня видимости среднестатистического человека. Кроме того, автор указывает на отсутствие дисконтов, чеков и наклеек о покупке, а также на длительное ожидание оплаченного заказа."
914,"Автор жалуется на то, что блюда за один стол приносились в разное время, поэтому кому-то приходилось ждать, а игровая была бедная и обшарпанная. Он также указывает на несоответствие фотографии в интернете действительности."
915,"Автор жалуется на качество кофе, который он заказал в кафе Рассказовка. Он считает, что кофе был не крепкий и невкусный, а его температура не соответствовала его ожиданиям. Автор выбросил стакан с кофе у касс в метро после первого же глотка."
916,"Автор жалуется на то, что заказал кофе в кафе Raff Coffee и получил некачественный продукт, который вызвал у него отравление и другие проблемы со здоровьем."
917,"Автор жалуется на высокомерие официантов и отсутствие возможности дождаться своего заказа. Он также отмечает, что десерты уже не те, которые были раньше."
918,"Автор жалуется на очень долгое обслуживание в кафе. Он описывает, что заказал кофе и мороженое в 12 часов ночи, но они ждали его 30 минут. Когда автор спросил, почему так долго, мороженое чуть ли не кинули в него."
919,"Автор жалуется на грязный ковёр в детской зоне кафе, помятые карточки и книги, а также на отсутствие игрушек и настенных полок для книг. Он хочет, чтобы руководство кафе доработало детскую зону."
920,"Автор жалуется на то, что баристы не продают кофе маленького объема (200 мл), хотя в прайсе есть матча базилик/малина."
921,"Автор жалуется на отсутствие официантов и низкий уровень посадки гостей. Он также отмечает, что на втором этаже открывается «прекрасный вид» на моечную, но посуду придется уносить самим, так как официант проходя и даже подход к вашему столу будет игнорировать этот момент. Кроме того, автор указывает на отвратительное качество блюд и их внешний вид, а также на громкий голос официанта, озвучивающего сумму счета."
922,"Автор жалуется на то, что одна смена девочек в кафе отдает слойки с пеканом без ореха или вообще без него. Он просит заменить, но его просьбу игнорируют и заводят диалог со следующим гостем. Автор работает в общепите не один год и хочет получать продукт надлежащего качества."
923,"Автор жалуется на то, что официантка испортила ему и его друзьям настроение, отвечая на их вопросы с издевкой и грубостью. Он также выражает свое сожаление по поводу посещения этого места и советует другим быть осторожными, чтобы им не испортили настроение."
924,"Автор жалуется на то, что в холодном кофе не хватило льда, а вместо него были накрошены какие-то крошки. Это произошло уже после того, как заказ был оплачен и готов. За день до этого автор был в этой кофейне и брал аналогичные напитки, все было хорошо, но неприятное «послевкусие» остается."
925,"Автор жалуется на то, что ему не понравился вкус приготовленного кофе."
926,Раньше было лучше. Сейчас аппарат для льда сломан. Лед закупают.. Поэтому больше одного ведерка не дают. Попросили сложить пиццу в коробки.. Нам сказали что это в их обязанности не входит.. Пробковый сбор высокий.. Я как постоянный клиент(бывший) не рекомендую
927,"Автор жалуется на то, что ему налили кофе из двух термосов 50/50, а не из одного, как было оговорено заранее. Он также указывает на высокий ценник и отсутствие нормального сервиса."
928,"Автор жалуется на то, что еда, которую он заказал в ресторане, была испорченной. Он описывает, как салат оливье прокис, картофель подплесневела, а котлета стала кислой. Автор рекомендует не заказывать готовую еду в этом ресторане."
929,"Автор жалуется на качество сервиса и кухни в ресторане, а также на отсутствие клиентоориентированности со стороны персонала. Он также выражает благодарность за «качественный сервис» и «высокую кухню»."
930,"Автор жалуется на то, что продавец Ирина вела себя хамски и кинула его заказ как собакам."
931,"Автор жалуется на то, что ему принесли стакан воды с отчетливым запахом водопроводной воды, хотя он заказал эспрессо. Девушка извинилась и принесла второй стакан уже нормальной воды. Это может означать два варианта: либо воду наливают из-под крана когда спешат, либо старый фильтр воды редко меняют. Заведение позиционирует себя как лакшери сегмент, но не может обеспечить норм качества."
932,"Автор жалуется на то, что ему не хватает денег на жизнь."
933,"Автор жалуется на то, что его попросили покинуть ресторан в течение 15 минут из-за забронированного другим людям стола."
934,"Автор жалуется на отсутствие завтраков в кофейне, несладкое какао и деревянную плюшку с маком, а также на то, что круассаны были без начинки, хотя на витрине они были с начинками."
935,Автор жалуется на низкое качество блюд и низкие цены в кофейне.
936,"Автор жалуется на то, что персонал в кофейне ведет себя грубо и неуважительно по отношению к покупателям."
937,"Автор жалуется на то, что заказанный им сендвич был приготовлен дольше, чем было оговорено, а салфетки были положены на стол плоским образом. Кроме того, он также отмечает неудовлетворительное качество самого сэндвича, который оказался жестким и невкусным."
938,"Автор жалуется на хамское отношение кассира Полины, которая не принесла ложки для размешивания чая и не предложила блюдце для заварки."
939,"Автор жалуется на то, что ему не понравилось обслуживание в данном заведении. Он описывает, как ему принесли маффин без тарелки и без приборов, а также кофе в грязных чашках без блюдечек. Автор также выражает свое мнение о качестве самого кофе."
940,"Автор жалуется на то, что в кафе не все меню доступно и заказ приходится ждать долго. Обычные хотдоги готовятся дольше 20 минут при отсутствии очереди. Ребёнку попросили не добавлять острый кетчуп 2 раза, но это не помогло. В целом, кафе оставляет желать лучшего."
941,"Автор жалуется на то, что в кофейне Тимати ничего не изменилось, остался старый интерьер с неудобным расположением мест и невкусным кофе."
942,"Автор жалуется на официанта, который не хочет работать, и на качество блюд, которые приносят с кухни, а не с картинки в меню. Он также указывает на отсутствие фри и ризотто с курицей и грибами и советует проработать Меню, чтобы оно было одинаково по вкусу."
943,"Автор жалуется на то, что ему не удалось дождаться своего официанта и он был вынужден выпить кофе в заведении по соседству."
944,"Автор жалуется на то, что в кофейне ""Ростберри"" подают невкусное мороженое по завышенным ценам."
945,"Автор жалуется на то, что ему не понравился сендвич с тунцом и авокадо, а также на уютный антураж, который не заставляет сразу бежать с налитым стаканом."
946,"Автор жалуется на отвратительное обслуживание на раздаче и кассе, а также на хамское поведение сотрудников и наплевательское отношение к посетителям."
947,"Автор жалуется на то, что официант потребовал убрать детский молочный коктейль, который ребенок допивал во время посещения ресторана."
948,"Автор жалуется на плохое обслуживание в кафе Маковецъ, где он хотел насладиться местным колоритом и попробовать местные вареники. Он описывает, что его никто не встретил на входе, пришлось самостоятельно обратиться к персоналу, чтобы попросить за столик. Официант Александра с недовольным лицом указала на столик и просто ушла. В итоге он ел холодную еду, так как про него забыли и принесли только после очередного напоминания. Автор не рекомендует это место как ресторан."
949,"Автор жалуется на качество обслуживания в кафе. Он отмечает, что еда была приготовлена медленно и с ошибками, а также ему отказали в добавлении дополнительного блюда в раф."
950,"Автор жалуется на поведение новой официантки, которая громко разговаривает и курит в неположенном месте."
951,"Автор жалуется на то, что еда в этом ресторане очень долго готовится и подается. Он также отмечает плохое обслуживание и плохое качество еды."
952,"Обслуживание в кафе ужасное, заказали милшейк клубнично-банановый с собой, оплатили и прождали минут 15. Задав вопрос почему так долго? Оказалось про нас забыли, и что коктель смогут приготовить через 30 минут, пришлось возвращать деньги. А также купили макаруны, а они оказались старыми. Больше сюда не придем."
953,"Автор жалуется на отсутствие любимой пасты с колбасками. Он также отмечает разнообразие меню, вкусную еду и удобное время работы до 00:00."
954,"Автор жалуется на проблемы с заказом и незнание меню официантом, что привело к невозможности получить желаемое блюдо и остаться без десерта."
955,Автор жалуется на неудобные столики и не приветливых официантов в ресторане.
956,"Автор жалуется на отсутствие половины меню, отвратительное обслуживание, проблемы с приложением и подачей блюд, грязный стол и обшарпанные диваны. Он также отмечает, что цены в заведении такие же, как и в других шоколадницах."
957,"Автор жалуется на то, что его заказ был доставлен с опозданием, а десерт подали только через час после его ожидания. Он также сообщает о двух сниженных оценках, которые он поставил этому заведению."
958,"Автор жалуется на отвратительное обслуживание в кафе ""Хорики"". Он описывает, как персонал не знает меню и не записывает заказы, что приводит к длительному ожиданию еды. Автор также отмечает отсутствие быстрой реакции на жалобы клиентов и советует руководству уволить весь персонал."
959,"Автор жалуется на несвоевременное обслуживание и некачественное мороженое в кафе ""Шоколадница""."
960,"Автор жалуется на то, что сотрудница Пекарни выгнала его с ребенком из магазина, когда он хотел купить булочек раньше 10.00. Он также отмечает ранее приветливый и клиентоориентированный персонал, но после сегодняшнего инцидента больше не будет посещать эту пекарню."
961,"Отвратительно Про меня,думаю забыли Заказал драники со сметаной Принесли через полчаса холодные, разваливающиеся Только кофе сидеть да места просиживать Цена-Качество 0 Очень завышены цены ОЧЕНЬ"
962,"Автор жалуется на то, что столики на пороге кофейни стоят в воде после дождя, и никто не убирает ее. Кофе среднего качества, а ценовой диапазон примерно такой же, как и в других кофейнях."
963,"Автор жалуется на то, что кассир не озвучивает стоимость заказа и персонал заходит в цех производства без фартука и перчаток."
964,"Автор жалуется на то, что в Traveler's coffee, расположенном в Ситимолле, ему пришлось ждать 40 минут своего заказа и еще 10 минут основного блюда, которое было разогрето повторно. Кроме того, он попросил официанта принести счет и прождал еще 20 минут, пока она проснется. В целом автор считает это кафе ужасным и не рекомендует его тем, кто ценит свое время и деньги."
965,"Автор жалуется на то, что работники кафе ""Парк победы"" не выдали чек и не отдали всю картошку фри, а также оскорбляли ребенка и называли его попрошайкой. Автор просит руководство кафе разобраться со своими сотрудниками."
