,Отзыв
663,"Взяли маринованное мясо по 500 р за кг, оно никакое, ни соли, ни специй, качество мяса средненько, короче мясо однозначно не советую. Да и вообще как то грязненько в заведении, ремонт как в избушке, дешевейший, неаккуратный. Больше года эта точка стоит, могли б и облагородить. Однозначно минус"
664,"Кофе не вкусный, за 250 руб за крохотную чашку на 3 глотка просто муть какая то. В американской сети полковника оно вкуснее гораздо, и дешевле в 5 раз. Не состоятельное место, а хвалят его те, кто слаще морковки ничего не пробовал"
665,"Людей было мало,видимо на майские праздники все разъехались. Кушали суп с морепродуктами,лапшу,десерт. Все понравилось"
666,"Место хорошее, но к сожиленею все испортил один случай какой то алкаш стал танцевать , а работник вместо того чтобы выкинуть его из ресторана стал с ним танцевать и петь. Также возможно он наркоман очень сильно расширены зрачки и постояно ходит в туалет"
667,"Кофемания достойное кафе. Но в тот день когда мы были конкретно в этой точке запах был как будто кого то вырвало. Там был какой то ремонт и многие жаловались. Понятно, что это временно, но аппетита и удовольствия не добавляло"
668,"Задумка хорошая как в Москве Депо, но место и площади для этого не удачные. Население спб в 3 раза меньше, дохода в 2 раза ниже....."
669,"Всегда нравилось как тут готовят, но заведение не развивается. Нужно вкладываться в обстановку... Слишком все простенько выглядит, из за этого перестал ходить."
670,"На работе подарили подарочный сертификат Север Метрополь с номиналом в 1000 рублей. Пришли в кондитерскую за тортом, в итоге продавцы не приняли сертификат, ссылаясь на то, что сам сертификат не принимает без конверта, хотя никакой информации об этом на самом конверте с сертификатом нету. В интернете информации об этом не нашел. Делаем выводы, что в этих заведениях рассчитывают на то, чтобы люди выкидывали конверты без которых сертификат попросту не действует и его можно выкинуть как и деньги заплаченные за него. Просто продают воздух. Не рекомендую."
671,"Вряд ли пойдём сюда второй раз, только если во всём Выборге больше мест не найдётся. Выбор еды и напитков просто никакой, предложили только очень скудный выбор пива. Коктейлей или каких-то напитков для девушек вообще нет, никакого другого алкоголя тоже. Но что самое странное, люди за соседним столиком пили коньяк - то ли можно с собой приносить, то ли всё остальное есть, но для своих. Поесть тут тоже особо нечего, да и обслуживанию оставляет желать лучшего. По стилистике и направленности бара тот же Чемпион на 10 порядков выше, до него теперь и прогуливаемся. Честно говоря, даже не знала какую тут оценку ставить, потому что я бы поставила 0, так как ни плохо, ни хорошо, просто никак"
672,"Хочу сказать, что еда тут действительно вкусная, но пришлось долго ждать. Бургер, который я заказала, мне пришлось ждать почти час! А когда его принесли, то он оказался холодным. Ещё расстроило, что большей половины еды из меню не было. Мусор со стола не убрали. В общем, приходите сюда когда у вас полно свободного времени."
673,"Сервис на 2+ Кухня ничего такая, но ожидание бургера 40 минут в выходные… В целом, он того не стоит. Солянка была заявлена с языком, языка там не обнаружила. Приглашайте меня на полгода с проживанием. Налажу работу вашего заведения, потому что жалко пропадает такое место. Перспективы стать самым нормальным заведением в Выборге то есть…"
674,"Отвратительная кухня. Советский Союз в худшем понимании этого выражения. Не очень высокие цены, но это не оправдывает плохое качество еды-строганина кусками, рыба жаренная сухая. Салата три ложки. Я была неприятно удивлега. Из плюсов-приветливый официант и достаточно быстрое обслуживание. Не рекомендую однозначно."
675,"Красивый интерьер, вкусное кофе, но очень дорого( за маленький капучино и не большой чизкейк 700 рублей😰"
676,"Добрый день. Мне нравилось это место до сегодняшнего дня. Но считаю свою оценку объективной . Меню полностью изменили. Цены повысили, а качество снизили). Поясняю: цукини нельзя заказать к завтраку, хотя они есть в обеденных блюдах, то есть можно сделать вывод, что цукини есть на кухне, в чем проблема включить их в завтрак? Везде присутствует хашбраун (жареный тертый картофель), как быть тем, кто старается избегать крахмала? Ок, я понимаю, что кофейня не заявляла себя как кофейня здорового питания, тем не менее, раз вы предлагаете допы к завтраку, среди которых есть авокадо, бекон, колбасы, почему проблема добавить кабачок? Далее, выбрать допы можно только к , внимание, -омлету. Спрашиваю у девушки -официанта, можно ли сделать вместо омлета яйца пашот или Бенедикт , по сути, то же блюдо, лишь различается способ приготовления . Она ответила, что нет. Мы подошли к администратору , попросили заменить способ приготовления яиц и сказали , что к тому же им это даже выгоднее , ведь не нужно использовать молоко, а цена такая же остаётся оказалось, админ сходил на кухню, уточнил, вернулся и сказал, что проблем нет, сделать можно. То есть официант для галочки отвечает нет и все, даже не уточняя. Меню обновлённое не понравилось, спасибо)"
677,"Были несколько раз в этом кафе с детьми, еда нам понравилась, но один раз на нас упал таракан, один раз принесли сырые манты, так же был случай, когда счёт был выписан неправильно! Скажу честно антисанитария полная, если Роспотребнадзор проверяет такие места, я бы посоветовала это место! Ужас в том ,что это безобразие в 50 км от МКАД. Я не советую туда ходить."
678,Все очень вкусно а все бариста что там работают просто святые люди
679,Прекрасное место с очень вкусными кофе и пирожеными
680,"Грязные столы , не убраны подносы, пришлось самой протирать стол….. На полу куски выпечки и крошки, стулья разбросаны по залу, видимо после предыдущих гостей. Выпечка попалась не свежей. Учитывая не самые низкие цены это не приемлемо. Только напитки радуют"
681,"То ли отзывы накручены, то ли люди от безысходности пишут, так как в округе больше ни одной кофейни нет. Заходили на днях, взяли лимончелло, чизкейк с морошкой и кофе с соленой карамелью. Повелись на необычные начинки. Несъедобно. Голимый сахар, вкуса нет никакого от слова совсем. Как в советские времена пирожные. Чизкейк - какой-то спред перемороженный. Бисквиты - поролон. Честное слово, хуже в городе нигде не ели. Сироп в кофе химический, даже пить не стала. Да, ещё странный для меня момент. Какой-то мальчик попросил продать стакан воды. Продавец сказала категоричное «нет», вода только в бутылках. Воды жалко ребёнку? Даже не бесплатно просил."
682,"Одна из самых печальных шаверм в России, которые мне удалось попробовать… Из минусов : - абсолютно вареная начинка по типу тёплого салата с курочкой с таким же вареным пожёванным лавашом внутри - ценник ! Почти 500₽ шава с добавками типа сыр и картошка и в целом эти добавки идут просто вместо других ингредиентов по ощущениям, курочки явно нехватает как будто обманом за слово большая шаверма кладут маленькую и добрасывают ещё тёплый салат из овощей, короче печально Из плюсов: Точнее почему не одна заезда - просто потомучто вареная начинка как бы почти здоровое питание, пюрешки с салатиком поел и как бы Куршской пахло, а самое главное никакого стресса и изжоги в послевкусие… Только что потраченные деньги и место в желудки на такую вкуснятину, в общем печально для такой заявки 😬"
683,"Не советую данное заведение, пару дней назад купила у них торт красный бархат на день рождения дочери и мы обе сильно отравились, поднялась температура, пришлось вызывать врача, в общем день рождения был испорчен. Санитарные нормы вообще не соблюдают и травят людей! Буду обращаться в роспотребнадзор, чтобы провели проверку!"
684,Это единственный сетевой магазин в этой стороне поймы! Поэтому он и лучший + пекарня открылась со свежим хлебом и выпечкой!
685,"Раньше было хорошо. Но в последний раз пришел, это было фигово. Заказал обед. Несли час. Меню принесли только минут через 20. 3 официантки залипали в свои телефоны. На прилавке уже стояли куча тарелок, но они их не разносили. Пасту принесли холодной, уже после того, как я пальцем указал на свою тарелку и сказал, что давно готово"
686,"Красивый вид с балкона и на этом пожалуй все, но на балкон не сесть , постоянно занят. Выбор десертов маленький, но кофе неплохой. Заказывала латте, десерт не взяла, тк было только 3 вида, которые я не ем"
687,"Те, кто хотя бы раз попробовал полотно трека, никогда не смогут забыть этого. Сооружение грандиозное. Просто поглядеть зайдите, точно не останетесь равнодушными"
688,"хожу на постоянной основе, есть одна сотрудница, работает там давно. Когда выпечка была правда сырая, она спорила, что это нет так, и такого не может быть! В следующий раз, попросили переделать кофе из-за размера, на что она ответила кофе пробит, хоят платёж еще не был проведён! В ее смену кофе брать не буду!"
689,Кофе вкусный. Ну кухать тут можно далеко не все. Боул готовить не умеют от слова совсем
690,"Девушка ужасно обслужила , так ещё разговаривала с кем то телефону , не могла мне отдать нормально еду. Так ещё баллы не начислила и сделала горький кофе и холодный. Даже не могла ответить почему нельзя начислить баллы заново. Другие девочки там вкуснее готовят!!!"
691,"Ужасно долго принимают заказ, несут напитки. Успеешь и салат и горячее съесть пока принесут молочный коктейль. 0/100"
692,"Заказал айс кофе пиноколада, попросил много льда не класть мужчина согласился но навалил кучу льда Заказ делал примерно 12.07.2023 в 22:25 Клиентоориентированность ужасная"
693,"Хуже еды не ела никогда. И более отвратительного кофе тоже не пила. На заправке вкуснее, зато цена выше неба"
694,"2 звезды лишь за отношение к гигиене. Стаканы для воды, которыми пользуются клиенты, стоят дном к низу. Т.е емкость открыта к: пыли, примесям воздуха, а так же кто-то может чихнуть или покашлять рядом. Об этом редко кто задумывается, но заведение, которое относится к общепиту, наверное об этом должно думать."
695,"Десерты превосходные!!! Но и не только десерты, на новогодние праздники были в кондитерской, и плотно пообедали, суп, салат и десерты! Все очень вкусно! Но и данное заведение с многолетней историей!"
696,"Очень неприметная кофейня со стороны дороги, т.е. случайно туда не забредешь ( потрясающий интерьер- за него 5 звёзд! Вкусный сбитень, выпечка нормальная, хотелось бы побольше несладкой выпечки."
697,"Возникла проблема с предзаказом на сайте Шоколадницы. Оказалось, что предзаказа в этом кафе нет, а деньги уже списались. Было раннее утро и невозможно было решить вопрос с офисом организации. Менеджер Оксана содействовала решению данного вопроса, дала свой номер телефона, держала в курсе дела и в итоге деньги вернулись. Очень приятно, что есть еще такие заботливые работники. Спасибо!"
698,"Были с друзьями, я долго ждала свой блинчик (1!!!), подруга заказала напиток какой-то, его невозможно было пить."
699,"Везли 2 часа. Привезли холодную пиццу. Я конечно понимаю что суббота, но зачем готовить пиццу если все курьеры заняты. Можно же ее приготовить когда курьер будет готов ее отвезти"
700,"Ужасное обслуживание , умеют только охранять туалет, не пускают пока что то не купишь, грубияны очень плохое и грязное заведение, разочаровалась в заведении, долго готовят, там сотрудники не повара, а директора туалета, придётся ставить «1»."
701,"Всем доброго дня! Хочу поделиться сегодняшней очень неприятной ситуацией: Сегодня, купив 2 хот дога «на рынке» решили выйти на проспект. Вышли, сели на столик, никого вообще не было. Все столы свободны! подходит молодой человек и говорит со своей едой нельзя. Хм, ну мы сели и никому не мешаем. (не курим, не ругаемся, не мусорим) мы вообще люди очень культурные и воспитанные. Я честно говоря повергся в шок… ладно б пришли, начали орать, свинячить… Начинаю разговор о том, что во первых - это не территория кафе, а летняя веранда. Территория - за дверью. Ваши «правила» идут в противоречие закому : правила общепита #1036!!!!! В Санкт-Петербурге, Петрограде, Ленинграде!!! всегда была и будет особенная культура потебления еды! В Блокаду погибли миллионы людей от голода!!!! а вы нам тут свои «правилишки» будете зачитывать!??? Совесть где ваша? Включайте уже голову наконец. Сходите в музей Блокады и Пискарёвку! Стыдно должно быть…. Подумываю написать жалобу в РПН. Думаю не одна статья нарушений найдется.. ps. Да я бы может и кофе у вас заказал с десертом, будь вы чуть культурнее и умнее."
702,"Бесподобные десерты! И надо остановиться на этом Остальная кухня всегда на «плохо», то официанты хамы, то кухня не работает, то света нет, то несут полтора часа на полтора человека."
703,"Острые крылья,а нас ещё и обманули 100 г 280 рублей,а одно крыло 300г купили шесть думали шесть это 1,200 не знали про крылья что они 300 г и 100г 280 рублей,а думали за 280 рублей крылья борбекью"
704,"Зашла в эту сеть 3 раз за все время и ничего не меняется! Также цена не соответствует ни вкусу, ни количеству! Тёплый салат с ростбифом холодный, 3 кусочка мяса, все остальное трава, брускета горит, холодная, вкуса никакого. Однозначно не советую"
705,"Мне не понравилось. Парковки нет. Очередь постоянно. Места присесть нет, всё занято. Обслуживают быстро, много официантов. Если только с собой брать…."
706,"Очень хорошее кафе, вкусная кухня. Особенно зашли лайки, корн-доги тоже супер! Работники отлично разбираются во всех фандомах. В подарок к заказу дают карточки, наклейки и значок! UPD: посетили кафе сегодня, 14.07. Осталось ужасное впечатление! Не прожаренное тесто в тайяки, просто сырое! Вода подкрашенная молоком вместо матча. Ледяная лапша сдобренная уксусом вместо супа! Короче говоря есть невозможно. Отвратительно. Надеюсь менеджмент обратит внимание на то, кого берёт на работу. Абсолютно непрофессиональная смена. Об акциях и подарках к заказу тоже ни слова кстати"
707,"Цены на сайте не соответствуют с действительностью, потому что указан прайс цен Питера. В меню половины блюд нет по сравнению с тем же Питером. Порция Рамена маленькая, не особо вкусная и довольно дорогая."
708,"Неприятно писать такие отзывы. Проезжали мимо, заехали за кофе. В меню одна цена, рассчитали по другой цене (большой раф в меню 200 руб., посчитали 260 руб.) Ответ сотрудника: цена выросла, а мы не успели поменять цену в меню. Считаю это непрофессиональным. Кофе к слову нам с супругом не понравилось, зерна не высокого уровня качества."
709,"абсолютно сухая тарталетка с фруктами(( ощущение сухаря с сметанным кремом не предложили подставку под сумку, пришлось держать ее на ногах все время("
710,"Это просто преступление!!! Заказала Бамб-кофе, попросила без сиропа, так как у меня диабет, сказали, что сироп туда не идет, но то, что вместо свежевыжатого сока они наливают дешевый пакетированный сок в котором огромное количество добавленного сахара, они умолчали! Кто вообще делает бамбл-кофе с дешманским химозным ненатуральным соком и продает по цене классического бамбл-кофе? Качество самого кофе и обжарки также вызывает много вопросов. Никому не советую данную кофейню!"
711,"Не рекомендую. Чиабатта еще туда-сюда, хотя явно не классический рецепт, а улитки (с маком и яблоком-корицей) просто ужас. Плоские, как будто на них сели, приторно сладкие, тесто очень сухое, масло прогорклое - и это утром, то есть оно вчерашнее? Зато ценник как в приличном месте"
712,Довольно распространенная кофейня И нигде не встречал чтоб американо!!!! Делали 15 минут И ещё с такой недовольной физиономией Как будто я забыл что что то должен этому продавцу...жесть
713,"Согласен с оценкой выше, Юрия!!! Кофе никакой, цена большая, на чем хотят вывезти люди не знаю! Заработать на точке постоянную клиентуру ? Для этого нужно использовать качественное хорошее кофе а не сорта низкого сорта! Ну а так, если это временная точка то видимо и заморачиваться никто не будет!!!! С девочками кто поставил 5 звёзд, сколько вам заплатили? Или вы сотрудники сети кофе?"
714,"Уютное и красивое помещение, приветливый персонал. Но кофе не вкусный( брали 12.06.23 эспрессо и капучино на банановом молоке, эспрессо не отстроенный, горечь и едкость, тело пустое (я работаю бариста и знания есть у меня), капучино на банановом не отдавал совсем кофе почти. Плюс долго ждали напитки! Изначально хотели выпить фильтр кофе, но он хранится в колбах на плитке капельной кофеварки, мы спросили время, сколько уже фильтр стоит на печке, ответили, что уже три часа. За это время фильтр может уже правда сгореть! Чтобы такого не было, необходимо переливать фильтр кофе в прогретые заранее горячей водой термосы! Плюс сама капельная кофеварка была грязная, ее не замывают каждую смену, на ней была грязь и пыль, которая явно там давно поселилась! Каждую смену необходимо приводить в чистый вид кофеварку, ведь она стоит прямо перед гостем и ее хорошо видно, вы же в общепите работаете! Фильтр в термосе - уже залог вкусного чёрного кофе. Пожалуйста, исправьте ситуацию с кофе. Алюс напитки долго отдавались, может и было много чеков на напитки, но это было слишком долго, а ни очереди, ни полного зала не было. Еще смутила грязная тряпочка для холдера, она свисает на весь бар, выглядит антисантарийно"
715,"Просто кошмарное обслуживание. Людей практически не было в заведении. Шла акция на коктейли 2 мартини+брускетта, заказали, прождали минут 15, пришел официант, сказал что не хватает мартини на второй коктейль… можете выбрать другой в порядке акции. Про коктейли рассказать не смог (они все похожи) Заказали салат цезарь ждали 20 минут. Потом по уже просьбе, когда зашла к зоне кухни выдали… попросили принести соль(сидели на веранде), опять же пришлось идти самой за ней. Зашла в туалет… Ни мыла, все в воде, в волосах, графика уборки нет, грязь нереальная просто. Ужас"
716,"Ужасное приготовление блюд. Спагетти принесли холодные. Теплый салат, это не салат, а накиданные ингредиенты без нормальной заправки. Однозначно нет. Не рекомендую."
717,"Есть ли еде хуже шоколадница в Москве? Мне пока не встречалась. 30 минут ждала кашу сваренную без молока (по словам официанта они варят только овсянку). По факту получила просто залитую молоком овсянку, так мне еще и подали ее со словами «ваша овсянка на ВОДЕ». Когда вода стала белая? Но официант уверял, что это именно вода. Ее забрали для уточнения. Еще минут через 5-7 я уже устала ждать результатов уточнения, спросила сама. Снова ждала долго результатов моего вопроса и вот, через 45 минут моего ожидания каши, мне сообщили, что она будет готова через 10 минут. О том, что у людей может не быть времени на часовое ожидание защитой овсянки водой, в этом заведении не знают. Я попросила счет. И мне его даже не принесли, а просто (по моей просьбе увидеть чек) показали его на телефоне. И в счет, конечно, была включена каша, которую я так и не дождалась. А официант, который меня обслуживал, даже не знал, что кашу то все еще не принесли. И вот после моего гнева, о том, что платить за то, чего я не дождалась для меня пригласили менеджера. Я объяснила всю историю и то, что за кашу я платить не собираюсь, ну потому что ее нет и то, что мне надо бежать, а вся их медлительность не входит в мои планы. К слову сказать каша была в завтраке, а потому стоимость там фиксированная. Но дело принципа. В итоге передо мной извинились сказали «кофе с собой за счет заведения» и принесли счет на 20!!!!!!! Рублей меньше чем было изначально 😅 цена моих нервов, голода и потери времени 20 рублей и капучино на молоке! Т.е мало того, что никто даже не спросил о том какое кофе мне налить с собой в качестве комплимента, но и почему-то о том, что скандал был именно из-за молока забыли. Либо это специально было сделано. Отсюда вывод: обходите это заведение стороной, либо заходите, если у вас кучу свободного времени и хочется его провести в атмосфере некомпетентности."
718,"Сама кондитерская, на Садовой великолепна! Великолепные пирожные! Можно вкусно пообедать есть салаты и горячее! Помню эту кондитерскую с 10 летнего возраста, качество остается на высоте... Фирменные ларьки видел, ассортимент хороший, Яндекс утверждает, что открыты до 20, но два дня назад в 19.10 он был закрыт.... Пришлось идти на Садовую в основной магазин."
719,"Не понравилось обслуживание. Когда заходила в заведение, парень-бариста с тёмными волосами и в чёрной куртке видимо куда-то хотел отойти, а тут зашла я. Он вздохнул и с недовольным лицом пошёл обратно на кассу принимать заказ. Ни здравствуйте, ни до свидания в ответ я не услышала. Когда отдавал заказ, тоже не оповестил о готовности. Хожу в эту кофейню довольно часто, в последнее время часто наблюдаю такое отношение от данного баристы. Желание посещать данное заведение отпало начисто"
720,"Полная посадка в 9 часов утра говорит о многом. Место очень популярное. Меню разнообразное. Взяла себе боул с фруктами, сырники и кофе. Сыта была до самого ужина)))) официанты сразу предупреждают, что ожидание заказа приблизительно 30 минут. Пока ждёшь принесут воды. Для детей есть раскраски и карандаши. Вот почему-то столы у них липкие, либо покрытие такое, либо после посетителей плохо протирают. (( в целом я бы ещё приехала на завтрак и даже обед))) рекомендую!"
721,"Максимально недовольная девушка на кассе,в её словах и взгляде читалось только одно «когда вы уже свалите». В такие моменты хочется сказать,не нравится работа ищи другую,но не накладывай этот негатив на посетителей.Кофейню посещали в обед. Заказали чай с облепихой, сэндвич, пп пирожное. Из всего понравился чай,очень вкусный. Туалет очень грязный!!!Впечатление на 1 звезду. Не понимаю откуда столько положительных отзывов."
722,"Очень вкусный кофе и холодный чай и еда обалденная. Раньше всегда выдавали пикалки на заказ, последние разы почему-то их нет, но да ладно. В авторский кофе с маршмелоу перестали класть кокосовую стружку, это не принципиально, но грустненько :("
723,"место переоценено. ходила сюда три раза, все три раза - сплошное разочарование. может я беру не те напитки, или фаза луны неблагоприятна для посещения таких заведений, но я совершенно не поняла всеобщего восторга. в последний раз брала напиток «Вилли Вонка», по сути, просто приторный горячий шоколад за 400 рублей. подруга взяла «Небесный чай» с тапиокой, итог: тапиока непроваренная, твердая внутри, в общем, от тапиоки одно название. очень грустно, но теперь знаю место в Питере, куда ходить точно не стоит."
724,"Довольно двоякое впечатление получилось от посещения данного заведения 14.03.2023. Wahaha позиционирует себя как милое и уютное местечко, где есть возможность посидеть и беззаботно поговорить, попивая их продукт, но на каком-то этапе все это обрушилось, а именно на персонале… Представьте, организация тратила время, денежные средства, создавали нечто подобное с неимоверно уникальной оберткой, которая не распространена в РФ, нежели в азиатских странах. Но все ломается на этапе работы с клиентами. Ближе к ситуации, при заказе работники стоят с невозмутимыми лицами и с наушниками, которые явно не являются слуховыми аппаратами, для чего они? Это остается секретом. После выбора напитка с некоторым добавлением топпинга, который Wahaha любезно предоставляет для полного охвата аудитории, где каждый способен подобрать себе что-либо по вкусу и по идее работники должны быть готовы к сказочным сочетаниям и реагировать на это никак. Но почему-то обсуждение идет прямо перед клиентом, какой напиток хуже, сегодняшний с добавкой, который я заказала или вчерашний с бедным пудингом и чем-то там еще. Очень жаль, что сотрудникам все равно, слышит их клиент или нет. К слову, это был обычный чай с дополнительной порцией классической тапиоки. Говорить о клиентоориентированности нет смысла, когда чуть ли не у тебя перед лицом насмехаются за твой выбор, который Вы же и предоставляете, несмотря на милый интерьер и неплохой чай, к сожалению, желания посещать больше не имеется. Никогда не оставляла отзывов, тем более негативных, но тут уж очень расстроило такое отношение("
725,"Очень даже ничего! Когда бешеной собаке и сто вёрст не крюк. Ехали в сторону Москвы. Любим кофе и сладенькое. Поставили запрос кофейня , рейтинг не ниже чего-то там. И вуаля - едем за сладеньким. Кофе только немного получше и тогда вообще бомба будет. Для нас он обычный. У меня рейтинг вкусный, обычный, отвратительный. Пьём только капучино. Сладости очень даже. Ценник гуманный."
726,"С относительно недавних пор пекарня стала дог Френдли. Не смотря на тотально негативное отношение к данному формату, отношусь с понимаем к любым попыткам привлечь клиентов, НО, могли бы оставить второй этаж для посетителей без животных, тем более что на втором этаже детская комната! 1) не учитываются интересы клиентов, например, аллергиков 2)собаки лежат и ходят по всему кафе (неизвестно привитые, больные) и с ним ходят и ползают дети! Отвратительно стало! И персонал всегда оставлял желать лучшего, при каждом посещении есть косяки (уже на протяжении 4х лет). Отзыв честный, раньше было хорошо и на косяки персонала заковали глаза (мы постоянные клиенты), но теперь одни минусы"
727,"Очень вкусный кофе, можно пить и без молока. Закупают зерна из Tasty Coffee, а это знак качества"
728,"В зале 3 гостя, столы грязные. Коктейлей из меню нет, состав смузи работники сказать не могут. 2 кофе и сэндвич, опять же, в полупустом зале, делают очень долго для кофейни. Прошло 20 мигнут, нам не принесли даже кофе. Время 7 нет, до конца смены еще времени много, а работники как сонные мухи. Больше не приедем"
