,0
1843,"Автору не понравилось, что напитки на вынос принесли в стеклянных чашках, а сам латте был слишком молочным. Персонал приятный, но его работа оценена на 4 звезды из-за конфузной ситуации."
1844,"Автору отзыва понравилось, что в кафе дружелюбный персонал, вкусная еда и низкие цены. Он также отметил разнообразие меню, большой выбор и уютную атмосферу. Единственный недочет - в сэндвиче с лососем попалась большая косточка."
1845,"Автору отзыва понравилось, что в кафе есть чем перекусить как мясные бутерброды так и сладкие, вежливые сотрудницы сделают ваш заказ быстро, красивый стильный дизайн, приятно удивлена щеточками для чистки обуви и одежды, вкусный кофе Молодцы ❤️"
1846,"Автору отзыва понравилось, что в кафе есть тётя Маша, которая готовит вкусные булочки со взбитыми сливками и пышки, а также что здесь можно устроить детский день рождения и заказать торт на заказ с индивидуальным декором."
1847,"Отличный кофе и бариста, высокий парень, который его варит. Всегда приветливый и помогает новеньким, которые подтупливают) Приятное место. Приветливый персонал, вкусный кофе, за завтраки и обеды на весь день - моё уважение. Удобное приложение + приятная бонусная система. Прикреплю скрин что уже пробовал (некоторые позиции не вместились) - всё было вкусно. Особенно полюбился пирог :)."
1848,"Автору отзыва понравилось, что в кафе Аксакал хорошая атмосфера, аутентичная кухня и вежливый персонал. Он также отметил хорошее обслуживание, вкусную еду и летнюю веранду. Однако автор также указал на некоторые недостатки, связанные с подачей горячего чая Улун и выбором десертов."
1849,"Автору отзыва понравились натуральные десерты, вкуснящее мороженое, атмосферно, приятная музыка. Он также отметил, что кафе небольшое но уютное, есть столики на улице (по погоде). Автор отзыва остался доволен кафе и рекомендует его для посещения."
1850,"Автору понравилось, что кафе находится в самом центре города и обладает прекрасным расположением, атмосферой, прекрасным персоналом и великолепным кофе. Он также отметил высокий уровень обслуживания, вежливый и отзывчивый персонал, а также демократичные цены."
1851,"Автору отзыва понравилось, что здесь всегда свежая и вкусная еда, приветливые продавцы, уютная пекарня с отличной атмосферой и дружелюбными работниками. Он также отметил вкусный кофе, наличие столиков и вечерние скидки на выпечку."
1852,"Автору отзыва понравилось, что в кафе есть разнообразная выпечка и сладости, а также супы, греча с грибами, каши, молочные продукты и всегда вкусный кофе. Персонал любезен и заботлив. Кафе уютное и вкусное, с приятным обслуживанием и авторскими напитками. Цены на десерты ниже среднего и есть скидка вечером. Можно работать в спокойной обстановке с питомцами и угостить качественными вкусняшками."
1853,"Автору отзыва понравилось, что в кофейне вкусный кофе и десерты, а также приятная атмосфера и вежливый персонал. Он также отметил приемлемые цены и качественную обжарку зерна."
1854,"Автору отзыва понравилось, что в кафе широкий выбор чая, кофе и десертов с разными добавками, приветливый персонал, ухоженный аквариум с экзотическими растениями и шикарная монстера при входе. Он также отметил вкусный кофе, сладости и необычный интерьер."
1855,"Автору отзыва понравилось, что цены в меню высокие, но это того стоит. Он заказал вафли с семгой и черничный раф, которые были очень вкусными и свежими. Также автор отметил красивый интерьер и керамическую посуду, а также интересные концепции саморозлива пива и хорошую кухню."
1856,"Автору отзыва понравилось, что в пекарне есть большой выбор пирожков и слоек, а также вкусный кофе и десерты. Он также отметил удобное расположение кофейни и отзывчивый персонал."
1857,"Автору отзыва понравилось качество десертов и напитков, уютная атмосфера, возможность понаблюдать за приготовлением тортов, а также возможность заказать торт на день рождения или другое торжество. Он также отметил, что цены в кафе высокие, но это компенсируется вкусной едой и высоким качеством обслуживания."
1858,"Автору отзыва понравилось, что здесь вкусный кофе, десерты и пироженки, а также уютное и милое место, вежливый персонал и быстрое обслуживание. Он также отметил отличное качество выпечки, отменный молотый кофе и широкий выбор блюд."
1859,"Автору отзыва понравилось разнообразие меню, быстрое приготовление кофе, свежая выпечка и салаты, вежливый и приветливый персонал, вкусные завтраки и чистота в туалетах. Он считает, что это отличное место как для того, чтоб посидеть компанией, так и для спокойного отдыха."
1860,"Автору отзыва понравилось, что в кофейне «Кофе и точка» всегда хорошее качество кофе, приветливый персонал, много интересных книг и настольных игр, а также возможность заказать кофе на вынос в свою кружку со скидкой. Он также отметил отличную кухню, особенно для любителей том яма и мидий."
1861,"Автору отзыва понравилось, что в кафе приветливый и дружелюбный персонал, который готов помочь и посоветовать по меню. Он также отметил вкусную еду и напитки, особенно кофе и десерты."
1862,"Автору отзыва понравилось, что здесь можно вкусно отдохнуть после шоппинга в Рио и посмотреть 🎥 😍, особенно необычный раф, супер вкусный кофе, всегда вежливые и доброжелательные бариста, приятная атомосфера и очень вкусное арахисовое печенье. Он также отметил милое место для парней, много девушек и высокую стоимость кофе."
1863,"Автору отзыва понравилось, что в Барбер Клубе для мужчин уютная атмосфера, доброжелательный и профессиональный коллектив, подают вкусные сэндвичи. Он также остался доволен стрижкой, выполненной мастером Аманом, и теплым интерьером, выполненным в классическом стиле с оглядкой на конец XIX - начало XX века."
1864,"Автору отзыва понравилось, что кафе необычное и ориентировано больше на ЗОЖ, завтраки. Меню не большое, но грамотно составленное. Очень прикольно сделан «конструктор завтрака», то есть можете на свое усмотрение и деньги, составить завтрак из чего хотите. Подача блюд красивая. Еда вкусная. Персонал вежливый и культурный. Цены на мой взгляд великоваты. За горячее в среднем 500 рублей. С парковкой просто беда. Заключение: позавтракать"
1865,"Что понравилось автору отзыва: вкусные чебуреки, хорошее обслуживание, вкусный кофе, выпечка для любителей, красивый интерьер, летняя веранда, цены завышены, но еда качественная, вкусная. Что не понравилось: обслуживание оставляет желать лучшего, официанты не внимательные, работают без души."
1866,"Автору отзыва понравилось, что в кофейне есть две детские комнаты, где родители с детьми могут удобно разместиться. Он также отметил приветливых и вежливых бариста и официантов, а также вкусную кухню и приемлемые цены. Однако автор также указал на некоторые недостатки обслуживания, такие как навязывание дополнительных услуг и отсутствие клиентоориентированности со стороны администратора."
1867,"Автору отзыва понравилось, что в кофейне есть большой выбор кофе и закусок, а также возможность быстро перекусить или попить чай. Также он отметил удобное расположение по пути на работу и с работы, цену и дружелюбный персонал."
1868,"Автору отзыва понравилось, что в филиале Французского пекаря можно отведать вкусный сендвич с ветчиной и круасан с фисташками, а также купить хороший достойный подарок на день рождения и другие праздники. Кроме того, автор отметил уютную атмосферу, два входа, стену с зеркалом и уютные стулья."
1869,"Автору понравилось, что в кофейне есть уютное место, где можно посидеть с друзьями и выпить кофе, а также вкусные напитки, десерты и добрые бариста. Он также отметил невысокую стоимость кофе по сравнению с другими кофейнями на этом этаже."
1870,"Любимое место покофейничать после работы. Очень милые бариста и самый вкусный кофе! Рекомендую! Прекрасное место, с восхитительной кухней (браво поварам) и замечательным сервисом. Детям и взрослым здесь понравится."
1871,"Автору отзыва понравилось, что здесь можно провести хорошо время и выпить вкусного чая или кофе на Ставропольской, персонал очень дружелюбный, очень вкусный фильтр кофе или воронка Оригинальное меню, вкусная еда, жаль не всегда все есть в наличии, симпатичный интерьер и удобные места."
1872,"Автору отзыва понравилось, что в Pantone 3817 приятно и уютно находиться, есть сезонные и авторские напитки, приятный аромат кофе, бесплатные напитки и угощения, вежливый персонал, качественная продукция и разнообразие в сиропах."
1873,"Автору отзыва понравилось, что здесь подают вкусные и недорогие шаурмы, бельгийские вафли и кофе, а также приятная атмосфера и хорошая музыка. Он также отметил разнообразие сезонных напитков и приветливых бариста."
1874,"Автору отзыва понравилось, что в пекарне можно перекусить, ассортимент хлеба снизился, цены высокие, но хлеб неплохой, а в кофейне всегда вкусно делают напитки. Он также отметил разнообразие разных сыров в магазине и компетентность сотрудников."
1875,"Автору отзыва понравилось: вкусная пицца, вкусные завтраки, вежливый персонал, качество кофе и альтернативное молоко."
1876,"Автору отзыва понравилось, что в кафе уютная атмосфера, дружелюбный персонал и оригинальные вкусовые решения. Он также отметил свежие десерты и инстаграммные завтраки, а также вежливых бариста и возможность приходить с собакой."
1877,"Автору отзыва понравилось, что во Фраппе подают вкусные булочки, эклеры и раф, а также десерты, особенно тарталетки с малиной и мокко. Он также отметил хороший выбор напитков и сладостей, стилизованные под старину залы и вежливых официанток."
1878,"Автору отзыва понравились вкусные коврижки и мастер-классы по специям, уютное место, доброжелательные и дружелюбные сотрудники, вкусная французская выпечка и атмосфера семейного уюта. Он также отметил, что кофейня занимает небольшое пространство, но при этом оформлена красиво со множеством интерьерных мелочей."
1879,"Автору отзыва понравилось приветливый персонал, цены кофе от 140 и выше, широкий ассортимент выпечки, возможность позавтракать и пообедать, уютный интерьер в оранжево-зеленых тонах, наличие посадочных мест, вкусный кофе и помощь бариста в выборе блюд."
1880,"Автору отзыва понравилось, что в кафе есть какао, слоеный пирожок с мясом, пироженка Алые паруса, кондиционер, чистота в зале, отзывчивый персонал. Он также отметил,что в дамской комнате не очень чисто. Автор рекомендует кафе всем любителям вкусного кофе."
1881,"Автору отзыва понравилось, что в заведении есть разнообразное меню, большой выбор кофе и других напитков, уютная атмосфера, хорошее обслуживание и отзывчивые и приятные официанты."
1882,"Автору отзыва понравилось, что кафе и обстановка классная, коллектив отличный обслуживания на высшем уровне, продукция очень вкусная! Качество товаров и выбор отменный! Всегда всё свежее. Можно поесть и внутри, и взять с собой. Персонал вежлив."
1883,"Автору отзыва понравилось наличие большого выбора разнообразной выпечки и хлебобулочных изделий, а также кулинарных миниатюр для быстрого перекуса. Персонал приветливый, обслуживание быстрое. Однако уходишь из «Хлебной усадьбы» несколько удрученным ценами. Качество продукции высокое, внешний вид сразу вызывает аппетит, хочется купить все."
1884,"Кофейня понравилась автору отзыва своим качественным кофе по приятной цене. Персонал приветливый и доброжелательный, все чисто, аккуратно и быстро приготовили. Обалденные лимонады и очень вежливая девушка помогли определиться с выбором и рассказали всё о напитках. Определенно будем заходить в будущем."
1885,"Автору отзыва понравилось, что в кофейне есть большой выбор десертов и напитков, а также вкусная еда и вежливый персонал. Он также отметил атмосферу и эстетичный интерьер кофейни. Автор также положительно оценил выбор сиропов и добавок для кофе, которые не экономят."
1886,"Автору отзыва понравилось, что в кафе есть выбор блюд, хорошее меню, приветливый персонал, вкусная еда и кофе, а также уютная атмосфера и наличие детского уголка и стульчика для кормления малышей."
1887,"Автору отзыва понравилось, что в данном заведении вкусный кофе и приятная атмосфера. Он также отметил доброжелательный персонал, который всегда готов помочь и ответить на любые вопросы."
1888,"Автор отзыва положительно отзывается о кофейне Port-o-Manufaktura в ТЦ Европа, отмечая отличный кофе, вкусную и разнообразную выпечку, вежливый персонал, удобное расположение и наличие настольных игр и книг. Он также отмечает, что здесь уютно, чисто и можно поесть только с 9 до 19 и в будни."
1889,"Автору отзыва понравилось, что в магазине всегда свежая выпечка и кофе, а также доброжелательная продавщица Татьяна. Он также отметил уютную атмосферу и возможность брать книги с полок и приносить свои."
1890,"Автор отзыва остался доволен посещением магазина тортов и кафе внутри него, где можно отведать покупку и приобрести посуду для сладостей. Он также отметил оперативность и внимательность сотрудников при оформлении доставки."
1891,"Автору отзыва понравилось приятное обслуживание, вежливый персонал, вкусная еда, необычные лимонады, томатный суп из свежих и копченых томатов, чизкейк с карамелью и отличный кофе."
1892,"Автору отзыва понравились необычные Гонконгские вафли и необычный кофе, а также внимание создателей к деталям в интерьере. Он также отметил вкусную и необычную еду, но остался разочарован отсутствием вкусной еды."
1893,"Автору отзыва понравилось, что подача блюд отличная, ожидание блюд было 5-7 минут, кофе самое вкусное, сотрудники вежливые и очень дружелюбные, встретили с улыбкой проводили до столика. Он также отметил вежливый и отзывчивый персонал, хороший бизнес-ланч, все быстро и вкусно."
1894,"Автору отзыва понравилось, что кафе очень приятное, персонал добрый и отзывчивый. Блюда приготовлены очень вкусно. Посещали несколько раз. Удобно сделать заказ столика и еды заранее по телефону. Персонал быстро и качественно выполняет заказы. Учитывают все пожелания, оформление превосходное."
1895,"Автору отзыва понравилось, что здесь быстро делают капкейки и бенто-торты, ягоды свежие и вкусные, цена приемлемая, а кофе замечательный и бариста отзывчивый. Также автор отзыва отмечает хорошую кофейню с вкусной выпечкой и кофе, но не хочет слышать, как женщина в табачке обсуждает свою личную жизнь."
1896,"Автору отзыва понравилось обновление стойки заказов, плов на высоте, шаурма пушка! Стоит все демократично. Очень рекомендую. Отращу не пожалел о выборе места для обеда Очень приятное место для любителей игры в бильярд. Тихое и уютное место, приветливый и вежливый персонал"
1897,"Автору отзыва понравилось, что в магазине и кафе Жюли представлен большой ассортимент товаров, цены умеренные, а также приятная атмосфера, красивый вид и наличие детского уголка. Он также отметил неопытность персонала в уборной и отсутствие специального приспособления для вытирания рук."
1898,"Автору отзыва понравилось, что в кофейне вкусно, недорого, уютно, людей не мрого, есть проблемы с вареным кофе и нет шпингалетов в туалете."
1899,"Кофе и чай отличные, сотрудники очень приветливые, минус- очень маленький и однообразный ассортимент"
1900,"Автору отзыва понравилось, что в кофейне можно получить скидку, пококетничать с прекрасной админшей, вкусно и скидки после 21.00, уютное место, мягкие диваны, вежливый персонал, есть кухня и можно прийти на сытный завтрак или на полезный бизнес ланч."
1901,"Автору отзыва понравилось, что в кофейне можно встретиться с подругами, забронировать столик через сообщество в ВК, персонал интересный и позитивный, интерьер красивый и наполненный, кофе как кофе, десерты шикарные, понравился шарик матча (не помню точное название). Он также отметил вежливый и внимательный персонал, красивый интерьер и вкусные сырники."
1902,"Автору отзыва понравилось, что в кофейне уютная атмосфера, вкусный чай и чизкейк, доброжелательный персонал, хорошее освещение, музыка и гостеприимные бариста."
1903,"Автору отзыва понравился ароматный кофе, большой выбор десертов, приветливый и улыбающийся персонал, чистота и аккуратность в кофейне, а также возможность получить бесплатный кофе в подарок при покупке зерен. Он также отметил, что заведение не очень уютное и нуждается в доработке."
1904,"Отличный кофе, вежливый персонал, интересная обстановка, большой выбор кофе и не только. Ставлю две звезды только за вкусную еду."
1905,"Автору отзыва понравилось, что в кофейне вкусный кофе, есть сладости к кофе и вежливый персонал. Интерьер как в музее, уютная атмосфера, много книг на полках, предметы старины. Кофейня находится недалеко от дома, можно позавтракать и вкусно провести время. Меню на основе матча отличное, порто брю - лучшее что могли сделать с кофе. Цена чуть выше средней, но окупается бонусной программой и кэшбэком."
1906,"Автору отзыва понравилось, что в кафе вкусные салаты, картошка фри и булочки, а также кофе латте. Он также отметил высокое качество ингредиентов для напитков, светлый интерьер без телевизора и музыки, большую карту холодных напитков и хорошее обслуживание. Однако автор отметил некоторые временные неудобства, связанные с ремонтом нижнего этажа и туалета."
1907,"Автору отзыва понравилось, что в кофейне тихо, уютно, вкусно готовят круассаны, макарунсы и пирожные, есть хороший выбор завтраков, кофе мягкий и не жжёный, профитроли насыщенные, а торт был сделан со всеми предпочтениями и оказался очень вкусным. Автор также отмечает, здесь отличное соотношение цена-качество."
1908,"Автору отзыва понравилось, что в кофейне можно заказать торт на день рождения, макаронс и клубнику, а также атмосфера, музыка и вежливый персонал. Он также отметил хорошее качество выпечки, десертов и кофе, но посетовал на высокую цену."
1909,"Автору отзыва понравилась кофейня за отзывчивый и приветливый персонал, вкусные вафли, молочный коктейль и кофе, уютное место, где всегда чисто и можно налить чай в свою посуду, адекватное отношение к наличию своей посуды и приемлемые цены на выпечку. Он также отметил, что ириски не понравились, но в целом они вкусные."
1910,"Кофемания возле Черёмушкинского рынка - отличное место для любителей кофе, десертов и блюд из основного меню. Приятный интерьер, доброжелательный персонал и летняя веранда дополняют впечатление от заведения. Меню разнообразное и вкусное, порции небольшие, цены завышены. Место подойдет для деловой и короткой встречи. Рядом есть платная парковка."
1911,"Автору отзыва понравилось вежливый и приветливый персонал, вкусные супы, куриный шашлык, плов, щербет и чак-чак. Он также отметил пережаренное мясо в плове и рассыпчатый рис. Однако автор отметил высокие цены на сладости."
1912,"Автор отзыва остался доволен посещением кафе «Султан Сулейман» в Казани. Он отмечает, что заведение располагает к себе своей уютной атмосферой и вкусной национальной кухней. Посетители оценили большие порции блюд, наличие специфических специй и оригинальный чак-чак. Сотрудники заведения приветливые и ценят своих клиентов. Автор рекомендует это место для посещения в следующий раз."
1913,"Что понравилось автору отзыва: вкусная еда, вежливый персонал, уютная атмосфера, очень вкусные десерты, бомбические пирожные, шаурма/кебаб вкусные, но не за эту цену. Двор шикарный, музыка, куча людей. Нам понравилось."
1914,"Автору отзыва понравилось, что в кафе вкусная и красивая еда, приятная атмосфера, хорошее обслуживание и вкусные напитки. Он также отметил удобное расположение в центре парка и приемлемые цены."
1915,"Автору отзыва понравилось оригинальное оформление кафе, вкусная еда и десерты, а также возможность позавтракать полезной пищей. Он также отметил хорошее обслуживание и профессионализм персонала. В целом, автор остался доволен посещением кофейни."
1916,"Автору отзыва понравилось, что в кофейне Blueberry вкусная еда и приятная атмосфера. Он остался доволен заказом торта на день рождения своего сына, а также получил заряд бодрости и позитива от приветливого бариста. Кроме того, автор отзыва отметил вкусную кофе и домашние сырники. Однако, он также указал на дороговизну заведения."
1917,"Автору отзыва понравилось, что в заведении нет русской музыки, приятная атмосфера, уютные диваны, чистый туалет с цветомузыкой, вкусные салаты, ароматный кофе, лимонад со льдом, сырники и венские вафли с мороженым, есть летние столики на улице. Он также отметил отменный салат с настоящей ароматной горгонзолой и грушей с пармой."
1918,"Автору отзыва понравилось, что в кофейне есть свежая продукция, вежливые продавцы и возможность купить кофе и что-то вкусное и недорого перекусить. Также автор отметил уютную атмосферу, дизайн в стиле лофт и хорошее качество кофе. Он также отметил измотанность бариста, который выглядит уставшим, но продолжает улыбаться."
1919,"Автору отзыва понравились вкусные и сытные завтраки, прекрасная подача, большой выбор кофе и напитков на основе кофе, холодных (были в июне, в жару) и горячих. Вежливые официанты, атмосфера приятная."
1920,"Автору отзыва понравилось обслуживание на высоком уровне, вкусная еда и кофе, а также обалденная выпечка. Он также отметил интересный дизайн и приятный персонал. Несмотря на некоторые замечания, автор рекомендует это место как хорошее место для перекуса и попить кофе."
1921,"Автору отзыва нравится кофейня за божественные десерты, вкусный кофе, приятную атмосферу, стильный интерьер, доброжелательные сотрудники. Особенно ему нравятся эклеры, которые редко где настолько вкусные. Он отмечает, что заказ отдают быстро, можно взять с собой или посидеть в кофейне. Отдельная благодарность бариста Сергею, именно благодаря таким внимательным и харизматичным сотрудникам создается атмосфера в заведении и хочется возвращаться."
1922,"Автору отзыва понравилось гостеприимство кафе, богатый выбор свежей выпечки и первоклассный кофе, а также приветливый заботливый персонал кафе. Он также отметил прекрасную кухню и потрясающий сервис."
1923,"Автору отзыва понравилось соотношение цены и качества кофе и десертов, приветливый персонал, уютная атмосфера, большой выбор напитков и молока, вкусная еда и кофе, а также дружелюбный и вежливый бариста. Он также отметил, что столиков немного, скорее всего чаще здесь заказывают кофе или час на вынос."
1924,"Автору отзыва понравилось, что в кофейне отзывчивые сотрудники, уютная атмосфера и вкусный кофе. Он рекомендует попробовать фирменный сливочно-сырный, такого интересного сочетания он не видел нигде в Пензе. Кроме того, автор отмечает доброжелательный и отзывчивый персонал, а также необычные вкусы кофе, особенно с шоколадом и ежевикой."
1925,"Автору отзыва понравился интерьер кофейни, вкусная выпечка и кофе, а также быстрая подача напитков и быстрое обслуживание. Он также отметил, что вафли со сгущенкой не хрустящие и рассыпчатые, как в других точках сети, но они все равно вкусные. Автор также положительно оценил наличие зоны отдыха на улице и возможность копить баллы для оплаты следующих визитов."
1926,"Автор отзыва считает, что в магазине все очень вкусно, свежее, полуфабрикаты есть, пицца, кофе только наивысший балл. Он также отмечает отличное качество тортов, кондитерских изделий, салатов и прочего, но отмечает ухудшение качества сдобных изделий."
1927,"Автор отзыва считает, что заведение на высшем уровне: картофельная вафля с лососем и воздушным омлетом-суперский плотный завтрак, раф- шикарный, мягкий слегка сладковатый. Атмосфера шикарная, фоновая музыка приятная для завтрака самое то, чтобы мягко проснуться. Персонал очень приятный! Вернемся обязательно, записали место в чек-лист! Я постоянный клиент этой замечательной кофейни, очень довольна обслуживанием, персонал всегда приветливый,"
1928,"Автору отзыва понравилось красивое место, уютная атмосфера, вкусная еда, доброжелательный персонал, низкие цены и наличие системы скидок-бонусов. Он также отметил некоторые недостатки, такие как невыносимая жара и некоторые блюда завтраков."
1929,"Автору отзыва понравилась уютная атмосфера, дружелюбный коллектив, вкуснейшая выпечка и кофе на 5 с +! Очень вкусный кофе! вежливый и приветливый бариста, который отлично знает свой ассортимент"
1930,"Автору понравилось, что в кофейне подают вкусные бургеры и кофе, а также приветливый и отзывчивый персонал. Он также отметил насыщенный вкус кофе и пожелал, чтобы бариста работал круглосуточно без обедов и выходных."
1931,"Автор отзыва считает, что кофейня обалденная, персонал очень отзывчивый, добрый, всегда подскажут,какие блюда заказать. Еда приносят быстро, очень вкусно. Самое любимое-это кофе, просто огонь 🔥 Никогда не пробовала такой вкусный кофе. Очень нравится атмосфера этого места. Любим завтракать здесь после работы, заходить на перерыве и просто во время прогулки. Бесспорно красиво, но очень мало что вкусно на наш взгляд. Ушли как-то набрав"
1932,"Автору понравилось, что в Дохонаго приятная атмосфера, много вкусной выпечки, тортики вкусные, продавцы приветливые, можно посидеть за столиком и перекусить."
1933,"Автору отзыва понравилось, что здесь вкусный кофе, отличное летнее меню, вежливый персонал, уютная атмосфера и вкусная еда. Он также отметил отличное место для душевных разговоров и тёплых встреч."
1934,"Автору отзыва понравилось: вкусная выпечка, выбор кофе или чая, атмосфера, персонал, запах свежей булочки."
1935,"Что понравилось автору отзыва:

1. Очаровательное место с большой любовью к деталям: полевые цветы на столах, морские камни в уборной, вода с лимоном, живая пташка, комфортик плейлист.
2. Вкуснейший кофе из хюгге чашки."
